POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LATITUDE,LONGITUDE
354-20160,-,0,Grey,SS,Y,N,SFMTA,ON,0,2016,CHESTNUT ST,3977000,Area 5,Marina,37.8007984,-122.4368696
354-21030,-,0,Green,SS,Y,N,SFMTA,ON,0,2103,CHESTNUT ST,3979000,Area 5,Marina,37.8005224,-122.4380666
354-21160,-,0,Yellow,SS,Y,N,SFMTA,ON,0,2116,CHESTNUT ST,3979000,Area 5,Marina,37.8005888,-122.438525
363-05250,-,0,Grey,SS,N,N,SFMTA,ON,0,525,COLUMBUS AVE,4295000,Area 3,,37.8000533,-122.4099854
363-05270,-,0,Grey,SS,N,N,SFMTA,ON,0,527,COLUMBUS AVE,4295000,Area 3,,37.8000875,-122.4100349
464-04120,-,0,Grey,SS,Y,N,SFMTA,ON,0,412,HAYES ST,6816000,Area 5,Civic Center,37.7768776,-122.4235122
464-04200,-,0,Grey,SS,Y,N,SFMTA,ON,0,420,HAYES ST,6816000,Area 5,Civic Center,37.7768342,-122.423847
359-09240,-,0,Grey,SS,N,N,SFMTA,ON,0,924,CLAY ST,4093000,Area 3,,37.7939896,-122.4087761
324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,1104,BATTERY ST,2767000,MC3,,37.8015415,-122.4015675
324-08080,-,0,Grey,SS,N,N,SFMTA,ON,0,808,BATTERY ST,2763000,Area 3,,37.79880291,-122.4010146
464-05130,-,0,Grey,SS,Y,N,SFMTA,ON,0,513,HAYES ST,6817000,Area 5,Civic Center,37.7765466,-122.4251311
607-32220,-,0,Grey,SS,Y,N,SFMTA,ON,0,3222,PIERCE ST,10445000,Area 5,Marina,37.8000211,-122.4393882
652-32030,-,0,Grey,SS,Y,N,SFMTA,ON,0,3203,SCOTT ST,11715000,Area 5,Marina,37.7994166,-122.4411104
652-32090,-,0,Yellow,SS,Y,N,SFMTA,ON,0,3209,SCOTT ST,11715000,Area 5,Marina,37.7995751,-122.4411433
209-04370,-,0,Grey,SS,N,N,SFMTA,ON,0,437,09TH ST,458000,Area 3,,37.7717494,-122.4089402
209-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,09TH ST,459000,Area 3,,37.7712516,-122.4083153
209-05070,-,0,Grey,SS,N,N,SFMTA,ON,0,507,09TH ST,459000,Area 3,,37.7711418,-122.4081773
352-05460,-,0,Grey,SS,N,N,SFMTA,ON,0,546,CASTRO ST,3791000,Area 3,,37.759436,-122.434965
324-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,BATTERY ST,2764000,Area 3,,37.79991691,-122.4014009
443-02030,-,0,Grey,SS,Y,N,SFMTA,ON,0,203,GOUGH ST,6315000,Area 5,Civic Center,37.7751655,-122.4227179
384-15260,-,0,Green,SS,N,N,SFMTA,ON,0,1526,DIVISADERO ST,4812201,Area 3,,37.7841032,-122.4395281
210-03090,-,0,Grey,SS,N,N,SFMTA,ON,0,309,10TH ST,488000,Area 3,,37.7725929,-122.4124029
210-03300,-,0,Grey,SS,N,N,SFMTA,ON,0,330,10TH ST,488000,Area 3,,37.7721762,-122.4121735
210-03610,-,0,Grey,SS,N,N,SFMTA,ON,0,361,10TH ST,489000,Area 3,,37.7717348,-122.4113273
590-01240,-,0,Grey,SS,Y,N,SFMTA,ON,0,124,OAK ST,9751000,Area 5,Civic Center,37.7752007,-122.4217101
605-00350,-,0,Grey,SS,N,N,SFMTA,ON,0,35,PAGE ST,10169000,Area 5,Civic Center,37.7740743,-122.4220676
442-07040,-,0,Grey,SS,Y,N,SFMTA,ON,0,704,GOLDEN GATE AVE,6267000,Area 5,Civic Center,37.7808612,-122.4223039
415-31110,-,0,Yellow,SS,N,N,SFMTA,ON,0,3111,FILLMORE ST,5563000,Area 5,Marina,37.7983791,-122.4358185
210-04580,-,0,Grey,SS,N,N,SFMTA,ON,0,458,10TH ST,490000,Area 3,,37.7703797,-122.4099214
327-01210,-,0,Grey,SS,N,N,SFMTA,ON,0,121,BROADWAY,3144000,Area 3,,37.7985614,-122.4005556
327-03130,-,0,Grey,SS,N,N,SFMTA,ON,0,313,BROADWAY,3146000,Area 3,,37.7982882,-122.4027096
442-07380,-,0,Green,SS,Y,N,SFMTA,ON,0,738,GOLDEN GATE AVE,6267000,Area 5,Civic Center,37.7807271,-122.423357
442-07400,-,0,Grey,SS,Y,N,SFMTA,ON,0,740,GOLDEN GATE AVE,6267000,Area 5,Civic Center,37.7807173,-122.4234334
440-39160,-,0,Grey,SS,N,N,SFMTA,ON,0,3916,GEARY BLVD,6059201,Area 3,,37.7812738,-122.4616682
330-09600,-,0,Grey,SS,N,N,SFMTA,ON,0,960,BRANNAN ST,3089000,Area 3,,37.7702134,-122.4069567
327-05180,-,0,Yellow,SS,N,N,SFMTA,ON,0,518,BROADWAY,3151000,Area 3,,37.7980188,-122.4060832
